Year,Month,AirlineCode,AirportCode,TotalFlights,FlightsDelayedOver15Min,CarrierDelayCount,WeatherDelayCount,NASDelayCount,SecurityDelayCount,LateAircraftDelayCount,CancelledFlights,DivertedFlights,ArrivalDelayMinutes
2022,7,9E,ABE,33,2,0.92,1,0.08,0,0,0,0,129
2022,7,9E,ABY,78,25,11.8,0.72,5.01,0,7.48,0,0,1664
2022,7,9E,ACK,124,19,5.84,1,6.76,0,5.4,5,4,1523
2022,7,9E,AEX,67,10,1.32,1,2.4,1,4.28,0,1,657
2022,7,9E,AGS,174,30,18.1,5.75,3.6,0,2.55,1,0,2462
2022,7,9E,ALB,114,16,3.7,1.82,2.33,0,8.15,5,0,1145
2022,7,9E,ATL,2219,470,111.62,23.02,129.81,0,205.56,8,10,41843
2022,7,9E,ATW,17,3,1.69,0,1.31,0,0,0,0,73
2022,7,9E,AUS,37,4,3,1,0,0,0,3,0,301
2022,7,9E,AVL,59,13,3.82,1,6,0,2.18,7,0,630
2022,7,9E,AZO,70,10,7.93,1,1,0,0.07,0,1,477
2022,7,9E,BGM,31,6,2.47,0,2.53,0,1,0,0,219
2022,7,9E,BGR,183,33,13.06,0.11,8.45,0,11.38,22,0,2615
2022,7,9E,BHM,54,12,4.58,0.97,4.62,0,1.83,8,0,724
2022,7,9E,BMI,26,5,2.28,0,1.72,0,1,0,0,122
2022,7,9E,BNA,214,56,18.94,2.81,20.68,0,13.57,23,0,3797
2022,7,9E,BOS,344,72,22.11,1.94,20.21,0,27.74,21,0,7217
2022,7,9E,BQK,88,13,6.09,0.66,2.13,0,4.12,0,1,846
2022,7,9E,BTV,176,31,16.58,2,6.5,0,5.92,14,0,1344
2022,7,9E,BUF,177,24,8.62,1.4,8.53,0,5.45,14,0,1433
2022,7,9E,BWI,111,21,7.47,0,6.59,0,6.94,11,0,1705
2022,7,9E,CAE,29,14,1.16,0.68,8,0,4.16,1,0,1218
2022,7,9E,CHA,116,30,11.04,0.41,8.85,0,9.7,0,1,1928
2022,7,9E,CHO,139,31,7.85,1.62,14.06,0,7.47,5,1,1747
2022,7,9E,CHS,216,40,10.23,1.25,13.66,0,14.86,13,3,3671
2022,7,9E,CID,96,15,8.26,0.73,3.05,0,2.96,0,0,913
2022,7,9E,CLE,379,64,19.79,1.5,14.82,0,27.89,33,0,5613
2022,7,9E,CLT,291,67,24.81,2.75,23.87,0,15.57,28,0,4614
2022,7,9E,CMH,31,5,2.01,0,2.99,0,0,0,0,349
2022,7,9E,CRW,65,15,4.9,0.01,7.88,0,2.2,0,1,1027
2022,7,9E,CSG,87,12,7.06,0.26,2.44,0,2.24,0,0,611
2022,7,9E,CVG,555,96,27.94,2.58,31.23,0,34.25,33,0,7574
2022,7,9E,CWA,93,8,3.02,0,1.16,0.93,2.89,0,0,581
2022,7,9E,DAY,44,8,3.36,0.24,3.92,0,0.48,0,0,504
2022,7,9E,DCA,171,32,9.28,2.81,17.36,0,2.55,13,0,2403
2022,7,9E,DHN,87,21,8.49,2.13,1.04,0,9.34,0,0,2058
2022,7,9E,DLH,31,3,1,0,1,0,1,0,0,444
2022,7,9E,DSM,202,32,15.42,0,6.25,0,10.33,2,0,2151
2022,7,9E,DTW,1392,216,75.45,8.98,30.41,0,101.16,14,2,19985
2022,7,9E,EVV,36,6,4.91,0,0.54,0,0.56,1,0,339
2022,7,9E,EWR,121,14,2.76,1,9.26,0,0.97,19,0,1353
2022,7,9E,FAY,36,4,1.81,0,2.19,0,0,0,0,149
2022,7,9E,FSD,33,6,1.94,0,0,0,4.06,0,0,701
2022,7,9E,GNV,1,0,0,0,0,0,0,0,0,0
2022,7,9E,GPT,31,5,2,0,1.04,0,1.96,1,0,495
2022,7,9E,GRR,78,19,7.9,0,5.62,0,5.48,12,0,1590
2022,7,9E,GSO,103,32,12.44,2.53,8.62,0,8.42,6,0,2288
2022,7,9E,GSP,100,21,6.02,0.31,5.23,0,9.44,10,0,1485
2022,7,9E,GTR,83,20,7.34,0.33,5.48,0,6.86,1,0,1718
2022,7,9E,HPN,50,8,4.18,0.9,2.52,0,0.39,1,0,599
2022,7,9E,IAD,93,20,7.36,0,9.1,0,3.54,10,0,1092
2022,7,9E,ILM,120,38,11.72,2.24,20.63,0,3.41,6,0,1578
2022,7,9E,IND,186,39,17.25,0,10.72,0.48,10.55,11,0,3776
2022,7,9E,ITH,10,0,0,0,0,0,0,0,0,0
2022,7,9E,JFK,2056,339,101.78,9.83,131.09,0,96.3,164,8,31737
2022,7,9E,LAN,70,4,3.8,0,0.03,0,0.17,0,0,622
2022,7,9E,LEX,71,22,10.18,0.9,5.92,0,4.99,0,0,1028
2022,7,9E,LFT,94,15,3.93,0,6.92,0,4.15,0,0,526
2022,7,9E,LGA,3293,581,151.2,31.22,233.85,0,164.73,309,37,58135
2022,7,9E,MBS,62,7,4.79,0,1.21,0,1,0,0,1065
2022,7,9E,MCI,36,6,1.58,0,2.35,0,2.07,2,0,1536
2022,7,9E,MEM,75,15,6.07,0,4.63,0,4.31,3,0,965
2022,7,9E,MGM,124,27,11.94,2.78,4.38,0,7.9,0,0,1952
2022,7,9E,MKE,231,55,25.73,1,12.67,0,15.6,22,2,4947
2022,7,9E,MLI,52,8,3.85,0,1.75,0,2.4,0,0,562
2022,7,9E,MLU,83,19,6.65,0,1.92,0,10.43,0,0,1126
2022,7,9E,MOB,107,31,18.09,1.61,6.15,0,5.16,0,1,1771
2022,7,9E,MSN,79,15,3.34,1.34,7.14,0,3.18,9,0,1575
2022,7,9E,MSP,617,89,38.23,1.49,20.4,0,28.87,6,0,7483
2022,7,9E,MYR,93,25,5.75,0,14.93,0,4.31,6,0,1748
2022,7,9E,OAJ,52,15,4.6,0,3.98,0,6.42,0,0,1373
2022,7,9E,OMA,37,9,4,1,1.93,0,2.07,7,0,1563
2022,7,9E,ORD,91,13,1.18,0,7.71,0,4.11,6,0,796
2022,7,9E,ORF,284,47,14.02,0.62,13.27,0,19.09,21,1,4695
2022,7,9E,ORH,26,5,3.31,0,1,0,0.69,3,0,230
2022,7,9E,PHL,26,9,4.72,0.47,0.51,0,3.3,2,0,759
2022,7,9E,PIT,247,46,11.32,2.59,14.68,0,17.41,18,0,3435
2022,7,9E,PVD,126,15,8.48,0,0.9,0,5.62,6,0,1248
2022,7,9E,PWM,170,24,10.44,1,6.82,0,5.74,24,0,3801
2022,7,9E,RDU,499,91,33.43,0.83,21.64,0,35.09,50,1,8063
2022,7,9E,RIC,309,49,13.25,1,16.73,0,18.02,19,0,3715
2022,7,9E,ROA,88,15,7.77,1,4.24,0,2,1,0,692
2022,7,9E,ROC,250,33,9.39,3.37,6.5,0,13.75,18,0,2607
2022,7,9E,SAV,183,37,5.04,0.82,13.51,0,17.63,16,1,3838
2022,7,9E,SGF,8,2,0,0,2,0,0,0,0,32
2022,7,9E,SHV,95,17,7.7,0.92,5.93,0,2.45,0,0,560
2022,7,9E,STL,140,18,7.59,0.46,6.02,0,3.92,19,0,1367
2022,7,9E,SYR,223,31,17.04,0,4.08,0,9.88,13,0,1586
2022,7,9E,TRI,149,19,9.11,0.42,4.78,0,4.7,0,0,1536
2022,7,9E,TVC,103,12,6.21,1.13,3.39,0,1.27,2,0,818
2022,7,9E,TYS,218,45,13.85,0.27,13.79,0,17.09,8,2,3524
2022,7,9E,VLD,87,19,8.36,1.9,2.94,0,5.8,0,0,886
2022,7,9E,XNA,111,15,7.77,1.37,2.5,0,3.37,1,0,951
2022,7,AA,ABQ,249,92,33.84,0.3,10.52,0,47.35,2,0,6582
2022,7,AA,ALB,79,32,10.23,2.28,3.58,0.22,15.7,3,0,2806
2022,7,AA,ANC,93,25,10.66,0,7.93,0,6.41,0,1,2454
2022,7,AA,ATL,524,212,67.48,9.78,38.84,0.09,95.82,11,0,15548
2022,7,AA,AUS,1430,509,172.67,14.37,144.4,1.64,175.93,44,1,36903
2022,7,AA,AVL,31,12,5.99,0,0.59,0,5.42,1,0,578
2022,7,AA,AVP,84,38,13.8,3.71,5.68,0,14.81,2,1,2180
2022,7,AA,BDL,384,137,41.17,8.49,15.34,0.13,71.87,13,0,9895
2022,7,AA,BGR,62,18,3.91,0,2.37,0,11.73,2,0,1153
2022,7,AA,BHM,55,31,9.28,1,9.56,0.15,11.02,0,3,2140
2022,7,AA,BNA,519,197,63.63,6.28,36.29,0,90.81,18,0,14834
2022,7,AA,BOI,124,38,17.96,0.51,3.37,0,16.16,2,0,3107
2022,7,AA,BOS,1878,541,180.95,24.7,124.42,1.28,209.66,64,3,34789
2022,7,AA,BTV,52,12,5.03,0,3.17,0,3.79,1,0,761
