Year,Month,AirlineCode,AirportCode,TotalFlights,FlightsDelayedOver15Min,CarrierDelayCount,WeatherDelayCount,NASDelayCount,SecurityDelayCount,LateAircraftDelayCount,CancelledFlights,DivertedFlights,ArrivalDelayMinutes,Delayed
2022,7,0,0,33.0,2.0,0.92,1.0,0.08,0.0,0.0,0.0,0.0,129.0,1
2022,7,0,4,78.0,25.0,11.8,0.72,5.01,0.0,7.48,0.0,0.0,1664.0,1
2022,7,0,5,124.0,19.0,5.84,1.0,6.76,0.0,5.4,5.0,4.0,1523.0,1
2022,7,0,11,67.0,10.0,1.32,1.0,2.4,1.0,4.28,0.0,1.0,657.0,1
2022,7,0,12,174.0,30.0,18.1,5.75,3.6,0.0,2.55,1.0,0.0,2462.0,1
2022,7,0,14,114.0,16.0,3.7,1.82,2.33,0.0,8.15,5.0,0.0,1145.0,1
2022,7,0,23,2219.0,470.0,111.62,23.02,129.81,0.0,205.56,8.0,10.0,41843.0,1
2022,7,0,24,17.0,3.0,1.69,0.0,1.31,0.0,0.0,0.0,0.0,73.0,1
2022,7,0,26,37.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,301.0,1
2022,7,0,27,59.0,13.0,3.82,1.0,6.0,0.0,2.18,7.0,0.0,630.0,1
2022,7,0,30,70.0,10.0,7.93,1.0,1.0,0.0,0.07,0.0,1.0,477.0,1
2022,7,0,36,31.0,6.0,2.47,0.0,2.53,0.0,1.0,0.0,0.0,219.0,1
2022,7,0,37,183.0,33.0,13.06,0.11,8.45,0.0,11.38,22.0,0.0,2615.0,1
2022,7,0,38,54.0,12.0,4.58,0.97,4.62,0.0,1.83,8.0,0.0,724.0,1
2022,7,0,46,26.0,5.0,2.28,0.0,1.72,0.0,1.0,0.0,0.0,122.0,1
2022,7,0,47,214.0,56.0,18.94,2.81,20.68,0.0,13.57,23.0,0.0,3797.0,1
2022,7,0,49,344.0,72.0,22.11,1.94,20.21,0.0,27.74,21.0,0.0,7217.0,1
2022,7,0,51,88.0,13.0,6.09,0.66,2.13,0.0,4.12,0.0,1.0,846.0,1
2022,7,0,58,176.0,31.0,16.58,2.0,6.5,0.0,5.92,14.0,0.0,1344.0,1
2022,7,0,59,177.0,24.0,8.62,1.4,8.53,0.0,5.45,14.0,0.0,1433.0,1
2022,7,0,61,111.0,21.0,7.47,0.0,6.59,0.0,6.94,11.0,0.0,1705.0,1
2022,7,0,63,29.0,14.0,1.16,0.68,8.0,0.0,4.16,1.0,0.0,1218.0,1
2022,7,0,69,116.0,30.0,11.04,0.41,8.85,0.0,9.7,0.0,1.0,1928.0,1
2022,7,0,70,139.0,31.0,7.85,1.62,14.06,0.0,7.47,5.0,1.0,1747.0,1
2022,7,0,71,216.0,40.0,10.23,1.25,13.66,0.0,14.86,13.0,3.0,3671.0,1
2022,7,0,72,96.0,15.0,8.26,0.73,3.05,0.0,2.96,0.0,0.0,913.0,1
2022,7,0,75,379.0,64.0,19.79,1.5,14.82,0.0,27.89,33.0,0.0,5613.0,1
2022,7,0,77,291.0,67.0,24.81,2.75,23.87,0.0,15.57,28.0,0.0,4614.0,1
2022,7,0,78,31.0,5.0,2.01,0.0,2.99,0.0,0.0,0.0,0.0,349.0,1
2022,7,0,87,65.0,15.0,4.9,0.01,7.88,0.0,2.2,0.0,1.0,1027.0,1
2022,7,0,88,87.0,12.0,7.06,0.26,2.44,0.0,2.24,0.0,0.0,611.0,1
2022,7,0,89,555.0,96.0,27.94,2.58,31.23,0.0,34.25,33.0,0.0,7574.0,1
2022,7,0,90,93.0,8.0,3.02,0.0,1.16,0.93,2.89,0.0,0.0,581.0,1
2022,7,0,94,44.0,8.0,3.36,0.24,3.92,0.0,0.48,0.0,0.0,504.0,1
2022,7,0,96,171.0,32.0,9.28,2.81,17.36,0.0,2.55,13.0,0.0,2403.0,1
2022,7,0,101,87.0,21.0,8.49,2.13,1.04,0.0,9.34,0.0,0.0,2058.0,1
2022,7,0,104,31.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,444.0,1
2022,7,0,107,202.0,32.0,15.42,0.0,6.25,0.0,10.33,2.0,0.0,2151.0,1
2022,7,0,108,1392.0,216.0,75.45,8.98,30.41,0.0,101.16,14.0,2.0,19985.0,1
2022,7,0,121,36.0,6.0,4.91,0.0,0.54,0.0,0.56,1.0,0.0,339.0,1
2022,7,0,123,121.0,14.0,2.76,1.0,9.26,0.0,0.97,19.0,0.0,1353.0,1
2022,7,0,128,36.0,4.0,1.81,0.0,2.19,0.0,0.0,0.0,0.0,149.0,1
2022,7,0,135,33.0,6.0,1.94,0.0,0.0,0.0,4.06,0.0,0.0,701.0,1
2022,7,0,144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,7,0,145,31.0,5.0,2.0,0.0,1.04,0.0,1.96,1.0,0.0,495.0,1
2022,7,0,149,78.0,19.0,7.9,0.0,5.62,0.0,5.48,12.0,0.0,1590.0,1
2022,7,0,150,103.0,32.0,12.44,2.53,8.62,0.0,8.42,6.0,0.0,2288.0,1
2022,7,0,151,100.0,21.0,6.02,0.31,5.23,0.0,9.44,10.0,0.0,1485.0,1
2022,7,0,154,83.0,20.0,7.34,0.33,5.48,0.0,6.86,1.0,0.0,1718.0,1
2022,7,0,165,50.0,8.0,4.18,0.9,2.52,0.0,0.39,1.0,0.0,599.0,1
2022,7,0,172,93.0,20.0,7.36,0.0,9.1,0.0,3.54,10.0,0.0,1092.0,1
2022,7,0,179,120.0,38.0,11.72,2.24,20.63,0.0,3.41,6.0,0.0,1578.0,1
2022,7,0,181,186.0,39.0,17.25,0.0,10.72,0.48,10.55,11.0,0.0,3776.0,1
2022,7,0,186,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022,7,0,191,2056.0,339.0,101.78,9.83,131.09,0.0,96.3,164.0,8.0,31737.0,1
2022,7,0,198,70.0,4.0,3.8,0.0,0.03,0.0,0.17,0.0,0.0,622.0,1
2022,7,0,209,71.0,22.0,10.18,0.9,5.92,0.0,4.99,0.0,0.0,1028.0,1
2022,7,0,210,94.0,15.0,3.93,0.0,6.92,0.0,4.15,0.0,0.0,526.0,1
2022,7,0,211,3293.0,581.0,151.2,31.22,233.85,0.0,164.73,309.0,37.0,58135.0,1
2022,7,0,222,62.0,7.0,4.79,0.0,1.21,0.0,1.0,0.0,0.0,1065.0,1
2022,7,0,223,36.0,6.0,1.58,0.0,2.35,0.0,2.07,2.0,0.0,1536.0,1
2022,7,0,229,75.0,15.0,6.07,0.0,4.63,0.0,4.31,3.0,0.0,965.0,1
2022,7,0,232,124.0,27.0,11.94,2.78,4.38,0.0,7.9,0.0,0.0,1952.0,1
2022,7,0,236,231.0,55.0,25.73,1.0,12.67,0.0,15.6,22.0,2.0,4947.0,1
2022,7,0,239,52.0,8.0,3.85,0.0,1.75,0.0,2.4,0.0,0.0,562.0,1
2022,7,0,240,83.0,19.0,6.65,0.0,1.92,0.0,10.43,0.0,0.0,1126.0,1
2022,7,0,242,107.0,31.0,18.09,1.61,6.15,0.0,5.16,0.0,1.0,1771.0,1
2022,7,0,246,79.0,15.0,3.34,1.34,7.14,0.0,3.18,9.0,0.0,1575.0,1
2022,7,0,248,617.0,89.0,38.23,1.49,20.4,0.0,28.87,6.0,0.0,7483.0,1
2022,7,0,252,93.0,25.0,5.75,0.0,14.93,0.0,4.31,6.0,0.0,1748.0,1
2022,7,0,253,52.0,15.0,4.6,0.0,3.98,0.0,6.42,0.0,0.0,1373.0,1
2022,7,0,259,37.0,9.0,4.0,1.0,1.93,0.0,2.07,7.0,0.0,1563.0,1
2022,7,0,262,91.0,13.0,1.18,0.0,7.71,0.0,4.11,6.0,0.0,796.0,1
2022,7,0,263,284.0,47.0,14.02,0.62,13.27,0.0,19.09,21.0,1.0,4695.0,1
2022,7,0,264,26.0,5.0,3.31,0.0,1.0,0.0,0.69,3.0,0.0,230.0,1
2022,7,0,276,26.0,9.0,4.72,0.47,0.51,0.0,3.3,2.0,0.0,759.0,1
2022,7,0,283,247.0,46.0,11.32,2.59,14.68,0.0,17.41,18.0,0.0,3435.0,1
2022,7,0,295,126.0,15.0,8.48,0.0,0.9,0.0,5.62,6.0,0.0,1248.0,1
2022,7,0,297,170.0,24.0,10.44,1.0,6.82,0.0,5.74,24.0,0.0,3801.0,1
2022,7,0,301,499.0,91.0,33.43,0.83,21.64,0.0,35.09,50.0,1.0,8063.0,1
2022,7,0,304,309.0,49.0,13.25,1.0,16.73,0.0,18.02,19.0,0.0,3715.0,1
2022,7,0,308,88.0,15.0,7.77,1.0,4.24,0.0,2.0,1.0,0.0,692.0,1
2022,7,0,309,250.0,33.0,9.39,3.37,6.5,0.0,13.75,18.0,0.0,2607.0,1
2022,7,0,316,183.0,37.0,5.04,0.82,13.51,0.0,17.63,16.0,1.0,3838.0,1
2022,7,0,327,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,1
2022,7,0,331,95.0,17.0,7.7,0.92,5.93,0.0,2.45,0.0,0.0,560.0,1
2022,7,0,346,140.0,18.0,7.59,0.46,6.02,0.0,3.92,19.0,0.0,1367.0,1
2022,7,0,354,223.0,31.0,17.04,0.0,4.08,0.0,9.88,13.0,0.0,1586.0,1
2022,7,0,359,149.0,19.0,9.11,0.42,4.78,0.0,4.7,0.0,0.0,1536.0,1
2022,7,0,363,103.0,12.0,6.21,1.13,3.39,0.0,1.27,2.0,0.0,818.0,1
2022,7,0,367,218.0,45.0,13.85,0.27,13.79,0.0,17.09,8.0,2.0,3524.0,1
2022,7,0,373,87.0,19.0,8.36,1.9,2.94,0.0,5.8,0.0,0.0,886.0,1
2022,7,0,377,111.0,15.0,7.77,1.37,2.5,0.0,3.37,1.0,0.0,951.0,1
2022,7,1,2,249.0,92.0,33.84,0.3,10.52,0.0,47.35,2.0,0.0,6582.0,1
2022,7,1,14,79.0,32.0,10.23,2.28,3.58,0.22,15.7,3.0,0.0,2806.0,1
2022,7,1,19,93.0,25.0,10.66,0.0,7.93,0.0,6.41,0.0,1.0,2454.0,1
2022,7,1,23,524.0,212.0,67.48,9.78,38.84,0.09,95.82,11.0,0.0,15548.0,1
2022,7,1,26,1430.0,509.0,172.67,14.37,144.4,1.64,175.93,44.0,1.0,36903.0,1
2022,7,1,27,31.0,12.0,5.99,0.0,0.59,0.0,5.42,1.0,0.0,578.0,1
2022,7,1,28,84.0,38.0,13.8,3.71,5.68,0.0,14.81,2.0,1.0,2180.0,1
2022,7,1,31,384.0,137.0,41.17,8.49,15.34,0.13,71.87,13.0,0.0,9895.0,1
2022,7,1,37,62.0,18.0,3.91,0.0,2.37,0.0,11.73,2.0,0.0,1153.0,1
2022,7,1,38,55.0,31.0,9.28,1.0,9.56,0.15,11.02,0.0,3.0,2140.0,1
